Title	Url	DatasetType	Agency	AgencyContact	AgencyContactEmail	AgencyContactPhone	Description	Format	UpdateFrequency	Cost	CostInformation	SubmissionSource	Licence	LicenceURL	Date listed	Date last updated	DatasetLastUpdated	DatasetCreation	Guid
NZ Auckland  Island Track Centrelines (Topo, 1:50k)	https://data.linz.govt.nz/layer/969-nz-auckland-island-track-centrelines-topo-150k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>A deliberately formed route of a lesser quality than a road</p><p>Data Dictionary for track_cl: <a href="http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-track_cl">apps.linz.govt.nz/topo-data-dictionary/index.aspx?...</a></p><p>This layer is a component of the Topo50 map series. The Topo50 map series provides topographic mapping for the New Zealand mainland, Chatham and New Zealand's offshore Islands, at 1:50,000 scale.</p><p>Further information on Topo50:<br /><a href="http://www.linz.govt.nz/topography/topo-maps/topo50">www.linz.govt.nz/topography/topo-maps/topo50</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-16 14:12:00		2014-05-21 15:20:03	2011-08-14 18:05:13	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:969
NZ Auckland  Island Waterfall Points (Topo, 1:50k)	https://data.linz.govt.nz/layer/970-nz-auckland-island-waterfall-points-topo-150k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>a sudden descent of water over a step or ledge in the bed of a river.</p><p>Data Dictionary for waterfall_pnt: <a href="http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-waterfall_pnt">apps.linz.govt.nz/topo-data-dictionary/index.aspx?...</a></p><p>This layer is a component of the Topo50 map series. The Topo50 map series provides topographic mapping for the New Zealand mainland, Chatham and New Zealand's offshore Islands, at 1:50,000 scale.</p><p>Further information on Topo50:<br /><a href="http://www.linz.govt.nz/topography/topo-maps/topo50">www.linz.govt.nz/topography/topo-maps/topo50</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-16 14:12:00		2014-05-21 15:20:59	2011-08-14 18:05:13	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:970
NZ Auckland  Island Wreck Points (Topo, 1:50k)	https://data.linz.govt.nz/layer/971-nz-auckland-island-wreck-points-topo-150k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>A wrecked vessel, either submerged or visible which is attached to or foul of the bottom or cast up on the shore; or a greatly disabled or damaged vehicle</p><p>Data Dictionary for wreck_pnt: <a href="http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-wreck_pnt">apps.linz.govt.nz/topo-data-dictionary/index.aspx?...</a></p><p>This layer is a component of the Topo50 map series. The Topo50 map series provides topographic mapping for the New Zealand mainland, Chatham and New Zealand's offshore Islands, at 1:50,000 scale.</p><p>Further information on Topo50:<br /><a href="http://www.linz.govt.nz/topography/topo-maps/topo50">www.linz.govt.nz/topography/topo-maps/topo50</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-16 14:12:00		2014-05-21 15:21:06	2011-08-14 18:05:14	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:971
NZ Auckland Island Terrain Relief (Topo, 1:50k)	https://data.linz.govt.nz/layer/2395-nz-auckland-island-terrain-relief-topo-150k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>In addition to contour lines, relief shading helps visualise the terrain. Hills and  valleys are shaded as if they were illuminated from the north-west.<br /></p><p>Relief layers were generated for each sheet, and specifically for use in the Topo50 map series. There may be subtle differences in the relief shading of adjacent map sheets. Where no contour information exists, relief shading has not been produced.<br /></p><p>The Topo50 map series provides topographic mapping for the New Zealand mainland, the Chatham Islands, and offshore islands at 1:50,000 scale (some of the islands at 1:25,000).<br /></p><p>Further information on Topo50: <a href="http://www.linz.govt.nz/topography/topo-maps/topo50">www.linz.govt.nz/topography/topo-maps/topo50</a></p>	kml/shp,other geo	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2015-08-14 13:19:35		2015-06-10 17:29:12	2015-06-10 17:29:12	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:2395
NZ Auckland Island Topo 50 Map Sheets	https://data.linz.govt.nz/layer/950-nz-auckland-island-topo-50-map-sheets/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>Polygon for each Topo50 map sheet holding extents of each sheet, it's sheet code, name, edition, and revision statement.  This is the same information that is printed on each Topo50 map<br /></p><p>Data Dictionary for linz_map_sheet: <a href="http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-linz_map_sheet">apps.linz.govt.nz/topo-data-dictionary/index.aspx?...</a><br /></p><p>This layer is a component of the Topo50 map series. The Topo50 map series provides topographic mapping for the New Zealand mainland, Chatham and New Zealand's offshore Islands, at 1:50,000 scale.<br /></p><p>Further information on Topo50:<br /><a href="http://www.linz.govt.nz/topography/topo-maps/topo50">www.linz.govt.nz/topography/topo-maps/topo50</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-16 14:12:00		2014-05-21 15:11:29	2011-08-14 18:05:03	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:950
NZ Auckland Island Topo50 Gridless Maps	https://data.linz.govt.nz/layer/2392-nz-auckland-island-topo50-gridless-maps/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>The Topo50 map series provides topographic mapping for the New Zealand mainland, the Chatham Islands, and offshore islands at 1:50,000 (some of the islands at 1:25,000) scale.<br /></p><p>Along with the paper-based Topo50 map series, digital images of the maps are also publicly available.<br /></p><p>Georeferenced raster digital images are provided at a resolution of 300 DPI. Georeferencing allows adjacent maps to be accurately and automatically aligned within GIS systems.<br /></p><p>For more information, and a description of the georeferencing keys:<br /><a href="http://www.linz.govt.nz/topography/topo-maps/topo50/digital-images">www.linz.govt.nz/topography/topo-maps/topo50/digit...</a><br /></p><p>Please be aware of the following:<br /></p><ul><li><p>The existence of a road or track does not necessarily indicate public right of access.<br /></p></li><li><p>Closed tracks are defined as being no longer maintained or passable and should not be used by recreationalists. The Department of Conservation or other authorities should be contacted for the latest information on tracks and huts.<br /></p></li><li><p>Not all aerial wires, cableways and obstructions that could be hazardous to aircraft are held in the data.<br /></p></li><li><p>Contours and spot elevations in forest and snow areas may be less accurate.<br /></p></li><li><p>Not all pipelines including both underground and above ground are held in the data or shown on the printed maps. For the latest information please contact the utility and infrastructure agencies<br /></p></li><li><p>Permits may be required to visit some sensitive and special islands and areas.  Contact the Department of Conservation to see if you need to apply for a permit.</p></li></ul>	kml/shp,other geo	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2015-08-14 13:19:34		2015-06-10 16:58:22	2015-06-10 16:58:22	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:2392
NZ Auckland Island Topo50 Maps	https://data.linz.govt.nz/layer/861-nz-auckland-island-topo50-maps/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>The Topo50 map series provides topographic mapping for the New Zealand mainland, the Chatham Islands, and offshore islands at 1:50,000 (some of the islands at 1:25,000) scale.<br /></p><p>Along with the paper-based Topo50 map series, digital images of the maps are also publicly available.<br /></p><p>Georeferenced raster digital images are provided at a resolution of 300 DPI. Georeferencing allows adjacent maps to be accurately and automatically aligned within GIS systems.<br /></p><p>For more information, and a description of the georeferencing keys:<br /><a href="http://www.linz.govt.nz/topography/topo-maps/topo50/digital-images">www.linz.govt.nz/topography/topo-maps/topo50/digit...</a><br /></p><p>Please be aware of the following:<br /></p><ul><li><p>The existence of a road or track does not necessarily indicate public right of access.<br /></p></li><li><p>Closed tracks are defined as being no longer maintained or passable and should not be used by recreationalists. The Department of Conservation or other authorities should be contacted for the latest information on tracks and huts.<br /></p></li><li><p>Not all aerial wires, cableways and obstructions that could be hazardous to aircraft are held in the data.<br /></p></li><li><p>Contours and spot elevations in forest and snow areas may be less accurate.<br /></p></li><li><p>Not all pipelines including both underground and above ground are held in the data or shown on the printed maps. For the latest information please contact the utility and infrastructure agencies<br /></p></li><li><p>Permits may be required to visit some sensitive and special islands and areas.  Contact the Department of Conservation to see if you need to apply for a permit.</p></li></ul>	kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-16 14:11:58		2014-05-21 12:24:31	2011-08-10 17:37:35	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:861
NZ Beacon Points (Topo, 1:250k)	https://data.linz.govt.nz/layer/150-nz-beacon-points-topo-1250k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>A fixed signal, mark or light erected for the guidance of mariners or aeroplane pilots.</p><p>Data Dictionary for beacon_pnt: <a href="http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-beacon_pnt">apps.linz.govt.nz/topo-data-dictionary/index.aspx?...</a></p><p>This layer is a component of the Topo250 map series. The Topo250 map series provides topographic mapping for the New Zealand mainland and Chatham Islands, at 1:250,000 scale.</p><p>Further information on Topo250: <a href="http://www.linz.govt.nz/topography/topo-maps/topo250">www.linz.govt.nz/topography/topo-maps/topo250</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:19:47		2015-08-21 14:02:38	2011-05-20 08:14:08	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:150
NZ Beacon Points (Topo, 1:500k)	https://data.linz.govt.nz/layer/202-nz-beacon-points-topo-1500k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>A fixed signal, mark or light erected for the guidance of mariners or aeroplane pilots.</p><p>Data Dictionary for beacon_pnt: <a href="http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-beacon_pnt">apps.linz.govt.nz/topo-data-dictionary/index.aspx?...</a></p><p>This layer is a component of the Topo500 data. The Topo500 map series will, when it is created, provide updated topographic mapping for the New Zealand mainland at 1:500,000 scale.</p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:19:47		2011-05-20 08:19:31	2011-05-20 08:19:31	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:202
NZ Beacon Points (Topo, 1:50k)	https://data.linz.govt.nz/layer/238-nz-beacon-points-topo-150k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>A fixed signal, mark or light erected for the guidance of mariners or aeroplane pilots.</p><p>Data Dictionary for beacon_pnt: <a href="http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-beacon_pnt">apps.linz.govt.nz/topo-data-dictionary/index.aspx?...</a></p><p>This layer is a component of the Topo50 map series. The Topo50 map series provides topographic mapping for the New Zealand mainland, Chatham and New Zealand's offshore islands, at 1:50,000 scale.</p><p>Further information on Topo50:<br /><a href="http://www.linz.govt.nz/topography/topo-maps/topo50">www.linz.govt.nz/topography/topo-maps/topo50</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:19:49		2015-08-21 13:33:25	2012-01-25 23:27:41	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:238
NZ Bivouac Points (Topo, 1:50k)	https://data.linz.govt.nz/layer/239-nz-bivouac-points-topo-150k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>An emergency shelter, place known to offer protection in remote areas, maybe either natural as in the cleft of a rock, or the lee of a fallen tree etc, or man made.</p><p>Data Dictionary for bivouac_pnt: <a href="http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-bivouac_pnt">apps.linz.govt.nz/topo-data-dictionary/index.aspx?...</a></p><p>This layer is a component of the Topo50 map series. The Topo50 map series provides topographic mapping for the New Zealand mainland, Chatham and New Zealand's offshore islands, at 1:50,000 scale.</p><p>Further information on Topo50:<br /><a href="http://www.linz.govt.nz/topography/topo-maps/topo50">www.linz.govt.nz/topography/topo-maps/topo50</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:19:46		2015-08-21 13:33:26	2012-01-25 23:27:44	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:239
NZ Boatramp Centrelines (Topo, 1:50k)	https://data.linz.govt.nz/layer/241-nz-boatramp-centrelines-topo-150k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>A place for launching or retrieving boats from the water.</p><p>Data Dictionary for boatramp_cl: <a href="http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-boatramp_cl">apps.linz.govt.nz/topo-data-dictionary/index.aspx?...</a></p><p>This layer is a component of the Topo50 map series. The Topo50 map series provides topographic mapping for the New Zealand mainland, Chatham and New Zealand's offshore islands, at 1:50,000 scale.</p><p>Further information on Topo50:<br /><a href="http://www.linz.govt.nz/topography/topo-maps/topo50">www.linz.govt.nz/topography/topo-maps/topo50</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:19:47		2015-08-21 13:33:27	2012-01-25 23:27:48	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:241
NZ Boom Centrelines (Topo, 1:50k)	https://data.linz.govt.nz/layer/242-nz-boom-centrelines-topo-150k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>Floating barrier across a river or harbour mouth.</p><p>Data Dictionary for boom_cl: <a href="http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-boom_cl">apps.linz.govt.nz/topo-data-dictionary/index.aspx?...</a></p><p>This layer is a component of the Topo50 map series. The Topo50 map series provides topographic mapping for the New Zealand mainland, Chatham and New Zealand's offshore islands, at 1:50,000 scale.</p><p>Further information on Topo50:<br /><a href="http://www.linz.govt.nz/topography/topo-maps/topo50">www.linz.govt.nz/topography/topo-maps/topo50</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:19:50		2015-08-21 13:33:28	2012-01-25 23:27:52	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:242
NZ Bounty Is Topo25 Gridless Maps	https://data.linz.govt.nz/layer/2393-nz-bounty-is-topo25-gridless-maps/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>The Topo50 map series provides topographic mapping for the New Zealand mainland, the Chatham Islands, and offshore islands at 1:50,000 (some of the islands at 1:25,000) scale.<br /></p><p>The Bounty Island data and map, although captured and presented at 1:25,000 scale is, to all intents and purposes, part of the Topo50 series.<br /></p><p>Along with the paper-based Topo50 map series, digital images of the maps are also publicly available.<br /></p><p>Georeferenced raster digital images are provided at a resolution of 300 DPI. Georeferencing allows adjacent maps to be accurately and automatically aligned within GIS systems.<br /></p><p>For more information, and a description of the georeferencing keys:<br /><a href="http://www.linz.govt.nz/topography/topo-maps/topo50/digital-images">www.linz.govt.nz/topography/topo-maps/topo50/digit...</a><br /></p><p>Please be aware of the following:<br /></p><ul><li><p>The existence of a road or track does not necessarily indicate public right of access.<br /></p></li><li><p>Closed tracks are defined as being no longer maintained or passable and should not be used by recreationalists. The Department of Conservation or other authorities should be contacted for the latest information on tracks and huts.<br /></p></li><li><p>Not all aerial wires, cableways and obstructions that could be hazardous to aircraft are held in the data.<br /></p></li><li><p>Contours and spot elevations in forest and snow areas may be less accurate.<br /></p></li><li><p>Not all pipelines including both underground and above ground are held in the data or shown on the printed maps. For the latest information please contact the utility and infrastructure agencies<br /></p></li><li><p>Permits may be required to visit some sensitive and special islands and areas.  Contact the Department of Conservation to see if you need to apply for a permit.</p></li></ul>	kml/shp,other geo	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2015-08-14 13:19:34		2015-06-10 16:59:56	2015-06-10 16:59:56	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:2393
NZ Bounty Islands Cliff Edges (Topo, 1:25k)	https://data.linz.govt.nz/layer/988-nz-bounty-islands-cliff-edges-topo-125k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>A high, steep or overhanging face or rock. Can be rock.</p><p>Data Dictionary for cliff_edge: <a href="http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-cliff_edge">apps.linz.govt.nz/topo-data-dictionary/index.aspx?...</a></p><p>Although captured and presented at 1:25,000 this layer, for all intents and purposes, forms part of the Topo50 map series.</p><p>Further information on Topo50:<br /><a href="http://www.linz.govt.nz/topography/topo-maps/topo50">www.linz.govt.nz/topography/topo-maps/topo50</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-16 14:12:00		2012-10-05 00:55:41	2011-08-16 12:23:46	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:988
NZ Bounty Islands Contours (Topo, 1:25k)	https://data.linz.govt.nz/layer/989-nz-bounty-islands-contours-topo-125k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>An imaginary line that connects points of equal height value eg the elevation of the land surface above or below a vertical datum, in this case of LINZ topographic mapping, this is Mean Sea Level. </p><p>Data Dictionary for contour: <a href="http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-contour">apps.linz.govt.nz/topo-data-dictionary/index.aspx?...</a></p><p>Although captured and presented at 1:25,000 this layer, for all intents and purposes, forms part of the Topo50 map series.</p><p>Further information on Topo50:<br /><a href="http://www.linz.govt.nz/topography/topo-maps/topo50">www.linz.govt.nz/topography/topo-maps/topo50</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-16 14:12:00		2012-10-05 00:55:52	2011-10-21 12:30:43	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:989
NZ Bounty Islands Geographic Names (Topo, 1:25k)	https://data.linz.govt.nz/layer/990-nz-bounty-islands-geographic-names-topo-125k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>Geographic name holds the proper noun of certain objects within the Topo databases.                                        Geographic_name does not apply to roads, railway lines, or descriptive text - eg 'Brunner Mine' would be a Geographic_name but 'mine disused' is held in the descriptive_text feature </p><p>Data Dictionary for geographic_name: <a href="http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-geographic_name">apps.linz.govt.nz/topo-data-dictionary/index.aspx?...</a></p><p>Although captured and presented at 1:25,000 this layer, for all intents and purposes, forms part of the Topo50 map series.</p><p>Further information on Topo50:<br /><a href="http://www.linz.govt.nz/topography/topo-maps/topo50">www.linz.govt.nz/topography/topo-maps/topo50</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-16 14:12:00		2012-10-05 00:55:40	2011-08-16 12:23:48	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:990
NZ Bounty Islands Height Points (Topo, 1:25k)	https://data.linz.govt.nz/layer/991-nz-bounty-islands-height-points-topo-125k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>A height above a vertical datum, represented on a map by a dot locator with the elevation printed beside the dot. Unlike trigonometrical stations, spot heights are not identifiable on the ground</p><p>Data Dictionary for height_pnt: <a href="http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-height_pnt">apps.linz.govt.nz/topo-data-dictionary/index.aspx?...</a></p><p>Although captured and presented at 1:25,000 this layer, for all intents and purposes, forms part of the Topo50 map series.</p><p>Further information on Topo50:<br /><a href="http://www.linz.govt.nz/topography/topo-maps/topo50">www.linz.govt.nz/topography/topo-maps/topo50</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-16 14:12:00		2012-10-05 00:55:39	2011-08-16 12:23:48	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:991
NZ Bounty Islands Polygons (Topo, 1:25k)	https://data.linz.govt.nz/layer/992-nz-bounty-islands-polygons-topo-125k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>Area of dry or relatively dry land surrounded by water or low wetland</p><p>Data Dictionary for island_poly: <a href="http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-island_poly">apps.linz.govt.nz/topo-data-dictionary/index.aspx?...</a></p><p>Although captured and presented at 1:25,000 this layer, for all intents and purposes, forms part of the Topo50 map series.</p><p>Further information on Topo50:<br /><a href="http://www.linz.govt.nz/topography/topo-maps/topo50">www.linz.govt.nz/topography/topo-maps/topo50</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-16 14:12:00		2012-10-05 00:55:38	2011-08-16 12:23:49	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:992
NZ Bounty Islands Rock Points (Topo, 1:25k)	https://data.linz.govt.nz/layer/993-nz-bounty-islands-rock-points-topo-125k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>An isolated rock or rock formation between high and low tides.</p><p>Data Dictionary for rock_pnt: <a href="http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-rock_pnt">apps.linz.govt.nz/topo-data-dictionary/index.aspx?...</a></p><p>Although captured and presented at 1:25,000 this layer, for all intents and purposes, forms part of the Topo50 map series.</p><p>Further information on Topo50:<br /><a href="http://www.linz.govt.nz/topography/topo-maps/topo50">www.linz.govt.nz/topography/topo-maps/topo50</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-16 14:12:00		2012-10-05 00:55:42	2011-08-16 12:23:49	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:993
NZ Bounty Islands Rock Polygons (Topo, 1:25k)	https://data.linz.govt.nz/layer/994-nz-bounty-islands-rock-polygons-topo-125k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>Coastal rocks; rocks between high and low tide</p><p>Data Dictionary for rock_poly: <a href="http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-rock_poly">apps.linz.govt.nz/topo-data-dictionary/index.aspx?...</a></p><p>Although captured and presented at 1:25,000 this layer, for all intents and purposes, forms part of the Topo50 map series.</p><p>Further information on Topo50:<br /><a href="http://www.linz.govt.nz/topography/topo-maps/topo50">www.linz.govt.nz/topography/topo-maps/topo50</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-16 14:12:00		2012-10-05 00:55:39	2011-08-16 12:23:50	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:994
NZ Bounty Islands Terrain Relief (Topo, 1:25k)	https://data.linz.govt.nz/layer/2396-nz-bounty-islands-terrain-relief-topo-125k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>In addition to contour lines, relief shading helps visualise the terrain. Hills and  valleys are shaded as if they were illuminated from the north-west.<br /></p><p>Relief layers were generated for each sheet, and specifically for use in the Topo50 map series. There may be subtle differences in the relief shading of adjacent map sheets. Where no contour information exists, relief shading has not been produced.<br /></p><p>The Topo50 map series provides topographic mapping for the New Zealand mainland, the Chatham Islands, and offshore islands at 1:50,000 scale (some of the islands at 1:25,000).<br /></p><p>The Bounty Island data and map, although captured and presented at 1:25,000 scale is, to all intents and purposes, part of the Topo50 series.<br /></p><p>Further information on Topo50: <a href="http://www.linz.govt.nz/topography/topo-maps/topo50">www.linz.govt.nz/topography/topo-maps/topo50</a></p>	kml/shp,other geo	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2015-08-14 13:19:35		2015-06-10 17:30:12	2015-06-10 17:30:12	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:2396
NZ Bounty Islands Topo25 Maps	https://data.linz.govt.nz/layer/860-nz-bounty-islands-topo25-maps/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>The Topo50 map series provides topographic mapping for the New Zealand mainland, the Chatham Islands, and offshore islands at 1:50,000 (some of the islands at 1:25,000) scale.<br /></p><p>The Bounty Island data and map, although captured and presented at 1:25,000 scale is, to all intents and purposes, part of the Topo50 series.<br /></p><p>Along with the paper-based Topo50 map series, digital images of the maps are also publicly available.<br /></p><p>Georeferenced raster digital images are provided at a resolution of 300 DPI. Georeferencing allows adjacent maps to be accurately and automatically aligned within GIS systems.<br /></p><p>For more information, and a description of the georeferencing keys:<br /><a href="http://www.linz.govt.nz/topography/topo-maps/topo50/digital-images">www.linz.govt.nz/topography/topo-maps/topo50/digit...</a><br /></p><p>Please be aware of the following:<br /></p><ul><li><p>The existence of a road or track does not necessarily indicate public right of access.<br /></p></li><li><p>Closed tracks are defined as being no longer maintained or passable and should not be used by recreationalists. The Department of Conservation or other authorities should be contacted for the latest information on tracks and huts.<br /></p></li><li><p>Not all aerial wires, cableways and obstructions that could be hazardous to aircraft are held in the data.<br /></p></li><li><p>Contours and spot elevations in forest and snow areas may be less accurate.<br /></p></li><li><p>Not all pipelines including both underground and above ground are held in the data or shown on the printed maps. For the latest information please contact the utility and infrastructure agencies<br /></p></li><li><p>Permits may be required to visit some sensitive and special islands and areas.  Contact the Department of Conservation to see if you need to apply for a permit.</p></li></ul>	kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-16 14:11:58		2011-08-10 17:33:51	2011-08-10 17:33:51	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:860
NZ Breakwater Centrelines (Topo, 1:250k)	https://data.linz.govt.nz/layer/152-nz-breakwater-centrelines-topo-1250k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>A structure built to break the force of waves to protect a beach, harbour or other waterfront facility.</p><p>Data Dictionary for breakwater_cl: <a href="http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-breakwater_cl">apps.linz.govt.nz/topo-data-dictionary/index.aspx?...</a></p><p>This layer is a component of the Topo250 map series. The Topo250 map series provides topographic mapping for the New Zealand mainland and Chatham Islands, at 1:250,000 scale.</p><p>Further information on Topo250: <a href="http://www.linz.govt.nz/topography/topo-maps/topo250">www.linz.govt.nz/topography/topo-maps/topo250</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:20:01		2015-08-21 14:02:39	2011-05-20 08:14:09	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:152
